"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"ppadjpred[34]" 0.028484474221291 0.000272081659184055 0.00743627949861953 0.0156442532272424 0.0230544014034533 0.0280130988119256 0.0332119938985254 0.0444053196671967 746.98670944543 1.00201758017895
"ppadjpred[35]" 0.0264037149373982 0.000257762197681172 0.00699982266361939 0.0143556901550693 0.0213106593161471 0.0259046953255551 0.0308223320833002 0.0413994929456074 737.455167813289 1.00200287913973
"ppadjpred[36]" 0.0244761016290498 0.00024419916235873 0.00659101358564636 0.0131986348272652 0.0197012053615837 0.0239213784267751 0.0286342926484646 0.0387755541085449 728.47738472233 1.00198674249226
"ppadjpred[37]" 0.0226902791841424 0.000231346334611494 0.00620778540682605 0.0121618541768435 0.0182121130627113 0.0221364220110908 0.0265888150912099 0.0362534269476916 720.025943955359 1.00196939926204
"ppadjpred[38]" 0.0210357405375438 0.000219161672622813 0.00584826360540598 0.011164395479436 0.0167986583614569 0.0204963648037938 0.0247293539397404 0.03384401977984 712.073243304145 1.0019510606815
"ppadjpred[39]" 0.0195027628831837 0.000207606761236319 0.00551074504023692 0.0102497660378915 0.015494505838904 0.0189513095123351 0.0229543089776958 0.0315926142447354 704.591906629529 1.0019319201494
"ppadjpred[40]" 0.0180823487178377 0.000196646343217187 0.00519367936200593 0.00939898358818105 0.0142846815099344 0.0175426614647278 0.0213219121926836 0.0296096188204094 697.555101563986 1.00191215351314
"ppadjpred[41]" 0.0167661713480868 0.000186247920385451 0.00489565254489052 0.00865914707822987 0.0131936707084908 0.0162388776645744 0.0198055072218541 0.0276919524443796 690.936778009362 1.00189191960427
"ppadjpred[42]" 0.0155465245202326 0.000176381414525903 0.00461537231223211 0.0079262897690947 0.0121512523723281 0.015012871872466 0.0184067499491576 0.0258256689321427 684.711841031843 1.00187136096474
"ppadjpred[43]" 0.0144162758590609 0.000167018879276685 0.00435165524927062 0.00728028191291228 0.0112358922161024 0.013903982317642 0.0170895053290591 0.0241359695886321 678.856270114166 1.0018506047097
"ppadjpred[44]" 0.0133688238254388 0.000158134255368854 0.00410341541472033 0.006689967215253 0.0103587473735918 0.0128853104759784 0.0158995204260158 0.0225748953249657 673.347195104339 1.00182976348099
"ppadjpred[45]" 0.0123980579249677 0.000149703162634 0.00386965428082695 0.00614247769537429 0.00955848256026469 0.011924195767962 0.0147690877830313 0.0212186541281827 668.162937671594 1.00180893645284
"ppadjpred[46]" 0.0114983219204266 0.000141702723121991 0.00364945184839509 0.00561603602449239 0.00882760701045002 0.0110348628664753 0.0137116321294161 0.0197955824146173 663.28302568457 1.00178821035891
"ppadjpred[47]" 0.01066437981968 0.000134111410484118 0.0034419587990275 0.00514163026415573 0.008145227076206 0.0102380389232812 0.0127321650849314 0.0184729449520324 658.688186682678 1.001767660516
"ppadjpred[48]" 0.00989138442819493 0.000126908921487206 0.00324638956142056 0.00471165988123498 0.00753202762818577 0.00948458354903091 0.0118333327321034 0.0173052125141518 654.360325523548 1.00174735182546
"ppadjpred[49]" 0.00917484827144507 0.000120076066141491 0.00306201618199946 0.00430863690408455 0.00695304501535422 0.00877496944705574 0.0110038819335226 0.0161922453091424 650.282490352335 1.00172733973819
"ppadjpred[50]" 0.00851061670736146 0.00011359467345876 0.0028881629024591 0.00395394812081505 0.00641318040779807 0.00812577905869149 0.0102334631212587 0.0151245894016565 646.438830241852 1.00170767117316
"ppadjpred[51]" 0.00789484306273357 0.000107447510316878 0.00272420135793551 0.00362292382443735 0.00592090567659384 0.00752603143683564 0.00950569643103658 0.0141860878275855 642.814547182022 1.00168838538272
"pradjpred[1]" 0.099035247841387 0.00115430588923666 0.0318928406707134 0.0416523255516564 0.0763441911768794 0.0980872894638947 0.120523173899053 0.166754198462472 763.386690142021 1.0009839626259
"pradjpred[2]" 0.0916037120929472 0.0010522008229669 0.0291555765685995 0.0388113094950843 0.0711679535856019 0.0908541676495836 0.111549157385801 0.152888398900606 767.796263461859 1.00103894673285
"pradjpred[3]" 0.0847338710128373 0.000959245318505091 0.026662174591181 0.0361703961693991 0.0659225041655621 0.0842520599226567 0.102946771674328 0.140555454456111 772.559183239071 1.00109326745742
"pradjpred[4]" 0.0783829672612994 0.000874623161383797 0.0243906998851517 0.0334703150171008 0.0612011998782111 0.0782082898928435 0.0952279785962137 0.129167557817012 777.690111823139 1.00114672878047
"pradjpred[5]" 0.0725115211998355 0.000797590459677918 0.0223211823413684 0.0311330439770933 0.0566744879133457 0.0722391347771212 0.0879935694511206 0.118326438964521 783.203265133169 1.00119912420826
"pradjpred[6]" 0.0670830778804799 0.000727469254943145 0.020435441399005 0.0289875967395883 0.0524780799908958 0.0668588155568071 0.0812855281320481 0.108477881246997 789.112201541366 1.00125023778474
"pradjpred[7]" 0.0620639736996158 0.000663641696782702 0.0187169264694075 0.0267868337749493 0.0487085747984317 0.0619795903357234 0.0750570358878086 0.0995996609057324 795.429581929165 1.00129984538412
"pradjpred[8]" 0.0574231211775787 0.000605544731355892 0.0171505715886058 0.0248857290192208 0.0451911647077233 0.057390249528605 0.0692745311193242 0.0915492804352371 802.166900011631 1.00134771629575
"pradjpred[9]" 0.0531318104465093 0.000552665258536478 0.015722663030905 0.0231619652046383 0.0419335979877278 0.0532144286677677 0.0639775481150657 0.084105932413351 809.33418271513 1.00139361510612
"pradjpred[10]" 0.0491635261405195 0.000504535716434159 0.0144207187283948 0.0215224720004698 0.0389049835077094 0.0493442189314153 0.0589687722570299 0.0776061062238921 816.939661288902 1.00143730387414
"pradjpred[11]" 0.0454937784849959 0.000460500229141822 0.0132333784435855 0.0200466529055054 0.03608707538458 0.0457002945303183 0.0544999839571203 0.0713200608047485 825.813092042619 1.00147854458627
"pradjpred[12]" 0.0420999474764859 0.000420207649496452 0.012150303735622 0.0186677332537521 0.0334159173513499 0.0423640490123415 0.0504639893960115 0.0657194109884736 836.077163129367 1.0015171018666
"pradjpred[13]" 0.0389611391317396 0.0003835575359357 0.0111620868454558 0.0173415128440408 0.0310320155747988 0.0391685317701662 0.0466848671421322 0.0605346809941111 846.895361949933 1.0015527459056
"pradjpred[14]" 0.0360580528647161 0.000350221564369374 0.0102601677027576 0.0161089832323689 0.0287568819914419 0.0361573898469491 0.0430704839418412 0.0556994461183985 858.268456808823 1.0015852555588
"pradjpred[15]" 0.0333728591242567 0.000319900621882175 0.00943675832789664 0.0149640558198312 0.0266815977097325 0.0335515531419855 0.039827809181474 0.0512520361619703 870.192823682318 1.00161442155537
"pradjpred[16]" 0.0308890864931748 0.000292322222141851 0.00868477396665293 0.0138990056129763 0.0246744787276066 0.0311115770896409 0.036825556817008 0.0472367638896211 882.659859710152 1.00164004974552
"pradjpred[17]" 0.0285915175121915 0.000267238149311749 0.00799777035402718 0.0128849791139603 0.0228980914548998 0.028831173789476 0.0340913511273079 0.0436434407127268 895.655399706752 1.00166196430712
"pradjpred[18]" 0.0264660925498744 0.000244422310422796 0.00736988655709833 0.0119920850498173 0.021258862598195 0.0267098299845928 0.0315462721241909 0.0401130955663562 909.159154037739 1.00168001082533
"pradjpred[19]" 0.0244998210929092 0.000223668777921704 0.00679579289582533 0.0111135977143612 0.0197882921018314 0.0247116850254154 0.0292099441664251 0.0371030317337471 923.144189588292 1.00169405915599
"pradjpred[20]" 0.0226806998800163 0.000204790005714927 0.00627064348541986 0.0102647452866894 0.0183395864212087 0.0228898444822312 0.0270337978205203 0.0343553170164029 937.576478627529 1.00170400598394
"pradjpred[21]" 0.0209976373479459 0.000187615203485353 0.00579003298481568 0.00951443892635384 0.0170362120551384 0.0211657418829146 0.0250177629393579 0.0318401482746585 952.41454284497 1.00170977699211
"pradjpred[22]" 0.0194403838995506 0.000171988855383232 0.00534995717316729 0.00881898181338903 0.0158047938630173 0.0196112259663649 0.023122562838104 0.0295362116760428 967.609221356963 1.00171132856584
"pradjpred[23]" 0.0179994675422308 0.000158207802341912 0.00494677701052993 0.00817473999769996 0.014629232173885 0.0181499208635136 0.0215209431072765 0.0274290333296713 977.66230777341 1.0017086489695
"pradjpred[24]" 0.0166661344803307 0.000145780407518898 0.00457718587017172 0.00757887639648172 0.0135480633178122 0.0168271612527826 0.0199328674859839 0.0253002714553702 985.822616311039 1.0017017589487
"pradjpred[25]" 0.015432294277568 0.000134428928003169 0.00423817965858444 0.00702644841756554 0.0125405314480744 0.0155886335842387 0.0184498185711921 0.0233441100815622 993.969949563924 1.00169071173011
"pradjpred[26]" 0.0142904692355378 0.000124055512923462 0.00392702956540187 0.0065142896282395 0.0116130177144908 0.0143959603317275 0.0170592024777605 0.0215794769831704 1002.06571769721 1.00167559241161
"pradjpred[27]" 0.0132337476619274 0.000114571215554784 0.00364125720928987 0.00604830031430856 0.0107582200597248 0.0133159340299825 0.0158053614863966 0.0200507538634944 1010.07046750449 1.00165651675672
"pradjpred[28]" 0.0122557407275173 0.000105895201857225 0.00337861196760676 0.00560662600550977 0.00993438838800436 0.0123191436088986 0.0146135985326586 0.0185654314508808 1017.94442231468 1.00163362942798
"pradjpred[29]" 0.0113505426344767 0.0000979540287057575 0.00313705029739922 0.00520702968151718 0.00919582196342647 0.0113867716377775 0.0135284545893643 0.017249038941925 1025.64805008703 1.001607101713
"pradjpred[30]" 0.0105126938400699 0.0000906809854915385 0.00291471687323604 0.00485410955827162 0.0084689534333788 0.0105462232409866 0.0125022299081945 0.0160496145024323 1033.14264359269 1.00157712881321
"pradjpred[31]" 0.00973714709979011 0.0000840154933556258 0.00270992738362241 0.00447429867382416 0.0078446710963017 0.00978477084003346 0.011583845877125 0.0149158852857569 1040.39089543886 1.00154392677833
"pradjpred[32]" 0.0090192361122941 0.0000779025568495582 0.00252115284240558 0.00416140083476923 0.00725616167982749 0.00905205846791193 0.0107262463337415 0.0138886482734463 1047.35745040002 1.00150772917778
"pradjpred[33]" 0.00835464656541617 0.0000722922633072135 0.00234700528480068 0.00383269183057828 0.00672253202152281 0.00838237141398303 0.00993298466339465 0.0129232190345471 1054.00941813029 1.00146878360527
"pradjpred[34]" 0.00773938939813552 0.0000671393256613605 0.00218622472955147 0.0035527069928747 0.00622018428414408 0.00775165037878013 0.00921383508843251 0.0120244926375414 1060.31683082141 1.00142734811206
"pradjpred[35]" 0.00716977610773783 0.0000624026648486761 0.00203766729941057 0.0032916299250859 0.00575057166865965 0.00716034146303338 0.0085505818415666 0.0112113094428139 1066.25303265303 1.0013836876609
"pradjpred[36]" 0.00664239594466105 0.0000580450283206765 0.00190029440169118 0.00301541876638332 0.00531458150880206 0.00663862692448518 0.00792114218880098 0.0104104925807689 1071.79499080559 1.00133807068493
"pradjpred[37]" 0.00615409484972797 0.0000540326415168523 0.00177316287921663 0.00278181332737462 0.00491621123781969 0.0061406545404396 0.00734468220534816 0.00965969062081522 1076.92352117249 1.00129076582538
"pradjpred[38]" 0.00570195599972765 0.0000503348894621046 0.00165541604968159 0.00258342536968286 0.0045266195516734 0.00568445390478291 0.00681175072133388 0.00898624483362083 1081.62342549217 1.00124203890985
"pradjpred[39]" 0.00528328183768908 0.0000469240259251861 0.00154627555833911 0.00236905678056609 0.00418525515806354 0.00526056973926158 0.00633711971115892 0.00838858005378765 1085.8835401902 1.00119215021943
"pradjpred[40]" 0.0048955774737623 0.000043774907820229 0.00144503397513488 0.00217499699440166 0.00386294103648014 0.00487899353583956 0.0058755077909335 0.0078500221641714 1089.69670055898 1.00114135207908
"pradjpred[41]" 0.00453653535144792 0.0000408647527516721 0.00135104807300984 0.00200979943186138 0.00358007636894729 0.00451635159571588 0.00545174345801967 0.00732773483185731 1093.05962682458 1.00108988679226
"pradjpred[42]" 0.00420402108205467 0.0000381729177962256 0.00126373272916294 0.00186173239370813 0.00331034954948718 0.00417741537502107 0.00504798716385687 0.00681807000079973 1095.97274101845 1.00103798492838
"pradjpred[43]" 0.0038960603577696 0.0000356806977862684 0.00118255539567661 0.00173230661059343 0.00305702715955304 0.00386947884514087 0.00468565673850599 0.00636472373598161 1098.43992530178 1.00098586396023
"pradjpred[44]" 0.00361082686064662 0.0000333711415096687 0.00110703109011799 0.00160476434505958 0.0028303041426068 0.00357942548827198 0.004338948878949 0.00589225202876357 1100.46823345173 1.00093372723948
"pradjpred[45]" 0.00334663109120228 0.0000312288843738578 0.00103671786059288 0.00147655948559142 0.0026106607483558 0.00330817711081678 0.00402617315809115 0.0054715751404351 1102.06756763148 1.00088176329024
"pradjpred[46]" 0.00310191004619456 0.0000292399961994198 0.000971212683288733 0.00137092680520136 0.00241289723196542 0.00305651420175743 0.00372837226525247 0.00509325960470006 1103.25033239119 1.00083014539512
"pradjpred[47]" 0.0028752176805905 0.0000273918429126946 0.000910147753835428 0.00126073305000364 0.00223104510679914 0.00282749577102549 0.00346264025184761 0.0047667465956256 1104.03107717465 1.00077903144424
"pradjpred[48]" 0.00266521609373648 0.0000256729609999956 0.000853187136867736 0.00115774591540706 0.002058111724837 0.00262087319294947 0.00320698647737545 0.00445450451967341 1104.42613754771 1.00072856401498
"pradjpred[49]" 0.00247066738436524 0.0000240729436698293 0.000800023741015223 0.00106287736274516 0.00189516235351407 0.00242729391068489 0.00297525284393502 0.00416074995485486 1104.4532840329 1.00067887064969
"pradjpred[50]" 0.00229042612333502 0.0000225823377455825 0.000750376589193593 0.000971109489721357 0.0017480296550284 0.00224893702401566 0.00276099303693004 0.0038774922118717 1104.13138594514 1.00063006429848
"pradjpred[51]" 0.0021234323969277 0.0000211925503808502 0.000703988356541573 0.000888316123555396 0.00161986163566471 0.002084936597105 0.00255939979138552 0.00360649100144076 1103.48009607548 1.0005822438957
"propnPrimI[1]" 0.467408892788799 0.00407318396471596 0.122902743226146 0.256199420116201 0.37979723758954 0.456150787312805 0.547877343978706 0.724398987907431 910.447908157744 1.00215403120648
"propnPrimI[2]" 0.419791046312898 0.0040281063150209 0.121505162576433 0.219022208521548 0.332707291824218 0.405787990207542 0.496635344995569 0.681534218022447 909.887319780846 1.00224807034862
"propnPrimI[3]" 0.433464082207967 0.0040478142040477 0.122114491994732 0.229371217833565 0.346047841378074 0.420213549196418 0.511510392821516 0.694308494577442 910.108717189333 1.00222016587658
"propnPrimI[4]" 0.575176157107989 0.00393756771503061 0.118715070279434 0.353237700804251 0.492643105141291 0.570803609953893 0.6577035578029 0.806490767568267 908.982740198427 1.00197628442306
"propnPrimI[5]" 0.68255416221217 0.00348006813617011 0.104559906268844 0.471098882187663 0.612936953398076 0.684436248760181 0.758079911831326 0.871744423230344 902.723766192973 1.00185140357725
"propnPrimI[6]" 0.587227339213054 0.00390229204326503 0.117622662125179 0.365328206644751 0.50577376236758 0.583621119174517 0.66942884265958 0.814556417405925 908.536693639386 1.00195962122349
"propnPrimI[7]" 0.464885689001584 0.00407244099969516 0.122879384342923 0.254147910184545 0.377258003421859 0.453474321042468 0.545202216560181 0.72223879724205 910.433965057439 1.00215878843401
"propnPrimI[8]" 0.433027754990657 0.00404727022110167 0.122097653970306 0.229036994571198 0.345619854456752 0.419752712147583 0.511037683587595 0.693906823809757 910.10234943325 1.00222104540022
