"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"ppadjpred[37]" 0.0172192569317449 0.000151771563381669 0.00483516019502177 0.00982010544944264 0.0137307490230363 0.0165894641692138 0.020050431993574 0.0283620805375647 1014.94128610328 1.00297068603996
"ppadjpred[38]" 0.0157850666701005 0.000142777976224776 0.00453506573445836 0.00885895888659111 0.0125333698323357 0.0151610096287407 0.0183878910635784 0.0261813144449951 1008.89211802554 1.00305281487315
"ppadjpred[39]" 0.0144712911732059 0.000134301020073623 0.00425338850666167 0.0079728891824179 0.0114062044931651 0.0138656992166381 0.01688630942397 0.0242320836093714 1003.02436710973 1.00313474859711
"ppadjpred[40]" 0.0132677406018662 0.000126309449627934 0.00398891938949115 0.00718501028938901 0.0103999111070273 0.0126986063954154 0.0154899325669792 0.0224279754197683 997.329888198556 1.00321626166691
"ppadjpred[41]" 0.0121650940866775 0.000118774607996769 0.00374055269975018 0.00650036400169678 0.00948349142333836 0.0116214356596715 0.0142481957517137 0.0207620131541686 991.800548390024 1.00329716344126
"ppadjpred[42]" 0.0111548250612344 0.000111670073639567 0.00350727302695151 0.005870150244132 0.00864392424535061 0.0106451609920145 0.0130759042013851 0.0192127131413451 986.428350104923 1.00337729383354
"ppadjpred[43]" 0.0102291330588933 0.000104971368871585 0.00328814417877535 0.00528096099446522 0.00785538703555645 0.00973813016894899 0.0120054775772856 0.0178145302286477 981.205521138102 1.00345651934823
"ppadjpred[44]" 0.00938088140948935 0.0000986557191040174 0.00308229988863902 0.00477192639333001 0.00714973171490499 0.00890622969735923 0.0110237566334918 0.0164868941319958 976.124578195311 1.00353472951002
"ppadjpred[45]" 0.00860354032190181 0.0000927018537608827 0.00288893599010809 0.00431166896804802 0.00651365642175648 0.00814131754326156 0.0101423601693273 0.0152679231658792 971.178369398009 1.00361183367729
"ppadjpred[46]" 0.00789113488348045 0.0000870898413316291 0.00270730380985084 0.00388766196781306 0.00593245437907312 0.00745927712307314 0.00931511361963815 0.0141701881968757 966.360100313985 1.00368775822101
"ppadjpred[47]" 0.00723819754847565 0.0000818009523076548 0.00253670457116148 0.00350535156791761 0.00540120864951683 0.00682796655577274 0.0085793372170448 0.0131999765393648 961.663347257462 1.00376244404383
"ppadjpred[48]" 0.00663972472511401 0.0000768175448398117 0.00237648463447192 0.00316101460422312 0.00491730607377881 0.00624040275708235 0.00788340694592778 0.0122831837399607 957.082060901021 1.00383584441066
"ppadjpred[49]" 0.00609113710514971 0.0000721380784843376 0.00222603143044609 0.00285994970636231 0.00448247779354876 0.00571354809242747 0.00725221853435507 0.0113764662425392 952.211548080557 1.00390792306101
"ppadjpred[50]" 0.00558824341089528 0.0000677328405767977 0.00208476996587579 0.00259405385648078 0.00408532068736933 0.00524292378170307 0.00668168352088084 0.0105361882493351 947.365804637535 1.00397865257365
"ppadjpred[51]" 0.00512720726316134 0.0000635844984861846 0.00195215980329201 0.00234162497989346 0.00372424013542037 0.00479300502936356 0.00614051503514359 0.0097775309010966 942.601728115191 1.0040480129552
"pr1adjpred[1]" 0.230128594057035 0.00182937138920254 0.062625861262357 0.1126378459579 0.186917678381757 0.229623319676681 0.271803599965875 0.354340554239748 1171.93535955943 1.00078844738753
"pr1adjpred[2]" 0.210386019607099 0.00164924260848751 0.0564778751048672 0.103488366256403 0.171489752210851 0.209956502103092 0.248469368254554 0.321165130819728 1172.70183479303 1.00078623844035
"pr1adjpred[3]" 0.192349877132494 0.00148787178269822 0.0509692632721679 0.0953311549226274 0.157438820170507 0.192009929257537 0.226915830567276 0.291109851790353 1173.50703468184 1.00079001895868
"pr1adjpred[4]" 0.17587158693452 0.00134329300896437 0.0460328140863377 0.0879699691644201 0.14426899159806 0.175661276402998 0.20684740927443 0.265438537008401 1174.33915415005 1.00080039921151
"pr1adjpred[5]" 0.160815599412996 0.00121374286919348 0.0416082738039331 0.0806692293210917 0.132344215310102 0.160790683628339 0.188604843702303 0.241234684778902 1175.18439108265 1.00081797319713
"pr1adjpred[6]" 0.147058244306685 0.00109763980844837 0.0376416359504552 0.0742789469213923 0.121058584758218 0.147417519814125 0.172561465142355 0.220376057241568 1176.02696990493 1.0008433044686
"pr1adjpred[7]" 0.134486682262814 0.000993565622917282 0.034084503424523 0.0684836563844328 0.110928040761787 0.134747793359775 0.157659514366639 0.200298348113208 1176.84923420058 1.00087691085628
"pr1adjpred[8]" 0.122997949575205 0.000900248843589828 0.0308935159466709 0.0629864566029511 0.101805245901136 0.123418611913456 0.144531044358686 0.182113526709147 1177.63181678117 1.00091924858093
"pr1adjpred[9]" 0.112498087755961 0.000816549822688547 0.0280298361588654 0.0576390828542815 0.093439154456519 0.112959355561124 0.131913036217997 0.166697992589223 1178.35389243274 1.0009706963768
"pr1adjpred[10]" 0.102901350356185 0.000741447348665628 0.0254586883383593 0.0527249926135656 0.0857183599184932 0.103363687338052 0.120322116827738 0.152084760165225 1178.9935142295 1.00103154034626
"pr1adjpred[11]" 0.0941294801337427 0.000674026632416221 0.023148944282175 0.0482037543022502 0.0787082448886636 0.0944397454665748 0.11005978212657 0.139162316561498 1179.52802899576 1.00110196033174
"pr1adjpred[12]" 0.0861110502868431 0.00061346852252819 0.021072751454419 0.0443282132244905 0.0721807770835594 0.0861339869715162 0.100688209993302 0.127137557793758 1179.93456156744 1.00118201860278
"pr1adjpred[13]" 0.07878086403671 0.0005590398211112 0.0192051989749999 0.0406273454429171 0.0660490429463765 0.0787423278285219 0.0919681267238423 0.115639639613661 1180.19055146326 1.00127165160546
"pr1adjpred[14]" 0.0720794073561264 0.000510084584233579 0.0175240174715201 0.0371726970584526 0.0604383720611681 0.0722055300973265 0.084007962408374 0.106197385275717 1180.27432005817 1.00137066540597
"pr1adjpred[15]" 0.0659523501076831 0.000466016302426349 0.0160093092214624 0.0341111532197082 0.0553054801870352 0.0659857324733624 0.0767283915829524 0.0968490918312123 1180.16564203433 1.00147873528028
"pr1adjpred[16]" 0.0603500912804305 0.000426310867242847 0.0146433053835966 0.0313280987942912 0.0506329862537273 0.0602931351536504 0.0701807153907117 0.0884177270606661 1179.84629239304 1.0015954096723
"pr1adjpred[17]" 0.0552273444001435 0.000390952095348915 0.0134101474590215 0.0286804560914074 0.0463041059976978 0.0551707930916731 0.0642750308272894 0.0810293500337028 1176.57608469121 1.00172011847964
"pr1adjpred[18]" 0.0505427595400362 0.000359105615631348 0.0122956904356577 0.0262213578725799 0.0423058670617521 0.0505199696208233 0.058746439911044 0.0744836326687944 1172.36123003477 1.00185218535638
"pr1adjpred[19]" 0.0462585786786946 0.000330295307729318 0.0112873253567164 0.0239836456134582 0.0386119363369112 0.0461338379644743 0.0537197635107518 0.0685924582798305 1167.82368602515 1.00199084346963
"pr1adjpred[20]" 0.0423403214430847 0.000304194841843172 0.0103738193144389 0.0219326496906681 0.0353814142764656 0.0421519289605613 0.0491279712591023 0.0630622276514048 1162.98380680301 1.00213525393945
"pr1adjpred[21]" 0.0387564985393757 0.000280514048711759 0.00954517110563536 0.0201312207325274 0.0323273930896278 0.038539575137172 0.0449414882606123 0.0581162563467617 1157.86573744351 1.0022845260468
"pr1adjpred[22]" 0.0354783504153529 0.000258995132017496 0.00879248099554516 0.0185017867601256 0.0296159814019253 0.0352827998947767 0.0411372314189194 0.0533247154377805 1152.49665602025 1.0024377382257
"pr1adjpred[23]" 0.0324796089175553 0.000239409237009392 0.0081078332217903 0.0169483467261552 0.0270502509153874 0.0322779322559922 0.0377833789126432 0.0490944785428363 1146.90595634805 1.00259395886564
