"mean" "se_mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "n_eff" "Rhat"
"pp0" 0.383338755382321 0.00294848795534044 0.0839244857023648 0.234564613745703 0.321213073126997 0.3780806857359 0.438724104739393 0.555068063252751 810.174670243425 0.999803575977133
"pr0" 0.0467695237830457 0.000562846875579409 0.01653665968498 0.0164590477067111 0.0353830024043237 0.0463104298604026 0.057560609770853 0.0813988892980165 863.207209039222 0.998821146069276
"xstar" 0.0755742489028027 0.000266219032542822 0.00684787785689089 0.0624550551827681 0.0709133552726716 0.0756127691323337 0.0801990904806234 0.0888239751797181 661.658367508616 1.000503091058
"b1" 0.134451202873978 0.00262916565190212 0.0737327732228016 0.0316496989076081 0.0848916847875548 0.120617504252827 0.17191364752092 0.308815637230991 786.475571738837 0.999057248394067
"ppadjpred[1]" 0.383338755382321 0.00294848795534044 0.0839244857023648 0.234564613745703 0.321213073126997 0.3780806857359 0.438724104739393 0.555068063252751 810.174670243425 0.999803575977133
"ppadjpred[2]" 0.355239196199064 0.00268244158702493 0.0768025912317324 0.21821320161184 0.298982214807615 0.351185123883409 0.40719384181488 0.511777534163998 819.768447871646 0.999746942164068
"ppadjpred[3]" 0.329214931673133 0.00244207731982134 0.0703429720902906 0.202993092496327 0.277750543768332 0.326110568913951 0.377294045585653 0.471763644980823 829.702898703374 0.999687559643552
"ppadjpred[4]" 0.305111566302318 0.00222650423564687 0.0644836719192706 0.188834661140735 0.257835390168856 0.302700626188636 0.34920924868829 0.435495750986885 838.788501045247 0.999625629744454
"ppadjpred[5]" 0.282786273069572 0.00203638255986971 0.0591682934777524 0.175651989041377 0.239403989720523 0.280533215522823 0.322763191309585 0.402479528067984 844.227217077306 0.999561409013236
"ppadjpred[6]" 0.262106920634737 0.00186686333491851 0.0543455122953803 0.163401130523665 0.222913685604519 0.259870668346462 0.298864426061251 0.372645499983255 847.427047887875 0.999495209653205
"ppadjpred[7]" 0.242951266820599 0.0017134878649988 0.049968634307568 0.152017877921093 0.207122654244929 0.240655929387642 0.276609292695728 0.344536933035176 850.418880639265 0.999427398094403
"ppadjpred[8]" 0.22520621332496 0.00157470449046828 0.0459951935423444 0.141473646080163 0.191720638932884 0.223167131184221 0.2562959001602 0.31806856232739 853.152699812769 0.999358391490759
"ppadjpred[9]" 0.208767116980322 0.00144916073969449 0.0423865862060879 0.131523424620544 0.178275334525566 0.207234731721455 0.237411829616083 0.29469207322189 855.507380947392 0.999288652045952
"ppadjpred[10]" 0.193537153242553 0.00133713836245396 0.0391077377691675 0.12161900322879 0.165295802382878 0.192335247941773 0.219888941223538 0.272089846828639 855.40678576056 0.999218679200606
"ppadjpred[11]" 0.179426727921833 0.00123544336595375 0.036126799888893 0.112248308338254 0.153066849283325 0.17866383176014 0.2036611929395 0.252303433228133 855.092906286766 0.999148999861541
"ppadjpred[12]" 0.166352933475422 0.00114306260389082 0.0334148742328679 0.104312888420297 0.142100931542016 0.165645611240407 0.188844801197427 0.233891138084478 854.554230024822 0.999080157005269
"ppadjpred[13]" 0.154239046464367 0.0010590769886472 0.0309457604867492 0.0963630985606175 0.131958917056384 0.153420803634055 0.175413830355011 0.216597922866761 853.78251401226 0.999012697126781
"ppadjpred[14]" 0.143014063037047 0.000982653647890784 0.0286957260510898 0.0893884727374067 0.122467536773486 0.142257506306905 0.162414508603978 0.200991910692414 852.773102658064 0.998947157114355
"ppadjpred[15]" 0.132612269543033 0.000913038743690846 0.0266432951550947 0.0823039646328587 0.113600324723633 0.13217260822529 0.150322200094016 0.186581774474022 851.525108857703 0.998884051197308
"ppadjpred[16]" 0.122972845602802 0.000849550877770975 0.0247690553413219 0.0763123331338296 0.105442720228042 0.122459775748141 0.139511769864583 0.173026014225708 850.041445403153 0.998823858626651
"ppadjpred[17]" 0.114039497163786 0.000791575015004753 0.0230554795030003 0.0709334511976024 0.0977240166210951 0.113566819388686 0.129384870878764 0.160927751953687 848.3287046858 0.998767012705166
"ppadjpred[18]" 0.105760117262307 0.000738556866110539 0.0214867618811852 0.0659748761692321 0.090528764536341 0.105307969024499 0.120101318604888 0.149296989618853 846.396895888045 0.998713891687623
"ppadjpred[19]" 0.0980864723855375 0.000689997679440488 0.0200486666475046 0.0610558372336933 0.0839377965498973 0.0974961489782613 0.111674054171621 0.138810403429099 844.259058957983 0.998664811934395
"ppadjpred[20]" 0.0909739124887067 0.000645449400443744 0.0187283879041703 0.0567088307132381 0.0776981244681901 0.090369681346937 0.103464711899309 0.128840439504309 841.930782537851 0.998620023538392
"ppadjpred[21]" 0.0843811028714727 0.000604510165462512 0.017514420120769 0.0526126256155068 0.0720333216950921 0.0839749535719964 0.0958781819479974 0.119711556749009 839.429657914347 0.998579708474108
"ppadjpred[22]" 0.0782697762546494 0.000566820103679847 0.0163964381925294 0.0484289265859783 0.0666616811985754 0.0778566501908344 0.0890184449964142 0.111900515935034 836.774702684704 0.998543981156497
"ppadjpred[23]" 0.0726045035251668 0.000532057427046124 0.0153651864441231 0.0445847372844624 0.0617029314776368 0.0720826790343555 0.0826970231762668 0.104304623726718 833.985786358395 0.998512891161099
"ppadjpred[24]" 0.0673524817341156 0.000499934792738336 0.0144123760152349 0.0410144961230914 0.0572286746295667 0.0666455850879263 0.0769631114219101 0.0969885576013563 831.083086092089 0.998486427755516
"ppadjpred[25]" 0.0624833380407015 0.0004701959261348 0.0135305901495655 0.0377970076776987 0.0530354640431431 0.0616976688199336 0.0714472311247067 0.0904196370966126 828.08659497616 0.998464525830732
"ppadjpred[26]" 0.0579689483946208 0.000442612494500783 0.0127131969696944 0.0349408381297492 0.0490702096797727 0.0571506931610887 0.0664807448604139 0.0842250103587867 825.015698627401 0.998447072798325
"ppadjpred[27]" 0.0537832698414066 0.000416981222740544 0.0119542693596402 0.0323223483629581 0.0453186217712087 0.0530422216311453 0.0618964749328095 0.0786206745017109 821.888829107936 0.998433916031813
"ppadjpred[28]" 0.0499021854202689 0.000393216074613128 0.0112485115991446 0.0298985683869543 0.0419366412802944 0.0491559388948875 0.0575209047614391 0.0731367072190962 818.32834453537 0.998424870469692
"ppadjpred[29]" 0.0463033607024166 0.000371397526669038 0.0105911924030794 0.0275586059572953 0.0387873520209488 0.0454978036182873 0.0535607223506731 0.0681203613950904 813.226834487573 0.99841972605547
"ppadjpred[30]" 0.0429661110902936 0.000351013142628168 0.00997808402022766 0.0252088286857428 0.0358841646953673 0.0421401841461429 0.0498173811716787 0.0635538920439561 808.067347219693 0.998418254757654
"ppadjpred[31]" 0.0398712790650654 0.000331934224540998 0.00940540704187086 0.0231909740222284 0.0331704438996118 0.0389842760225417 0.0463614899391136 0.0593899559550865 802.88089614211 0.998420216982558
"ppadjpred[32]" 0.03700112063147 0.00031404687258796 0.00886978056528671 0.0214064919924349 0.0306526777686159 0.0361318782904175 0.0430512103340615 0.0554811114833951 797.694882033731 0.998425367259136
"ppadjpred[33]" 0.0343392002661991 0.000297250203915448 0.0083681773528594 0.0197233997578813 0.028366531364073 0.0334264540022724 0.039904521923748 0.0518729646571445 792.533136389769 0.998433459133653
"ppadjpred[34]" 0.0318702937286653 0.000281454759123545 0.00789788362566836 0.0182387781259952 0.0263048806219703 0.0309675182306121 0.0371955365626361 0.0484965125020448 787.416058011987 0.998444249260696
"ppadjpred[35]" 0.0295802981416737 0.000266581083694188 0.00745646313212529 0.0167481768218608 0.0243248627482795 0.02868428910421 0.0345737919750418 0.0453317996881358 782.360816971794 0.998457500714792
"ppadjpred[36]" 0.0274561487944617 0.000252558471016969 0.00704172513785513 0.0154016889762087 0.0224521787071336 0.0265409328585915 0.0320896403650936 0.0424908145003305 777.381603237652 0.998472985574259
"ppadjpred[37]" 0.0254857421620826 0.000239323853407516 0.00665169599250509 0.0141223361469175 0.0207686278385291 0.0246494948450913 0.0298291572575437 0.0399071954964271 772.489900921495 0.998490486846694
"ppadjpred[38]" 0.0236578646734577 0.000226820827580728 0.00628459394214253 0.012967473598371 0.0192183362240483 0.0228717191020277 0.0276859875390788 0.037465785707762 767.694772842212 0.998509799815342
"ppadjpred[39]" 0.0219621267958382 0.000214998801384719 0.00593880687179773 0.0119068551552272 0.0178030899376657 0.0212134174347053 0.0257189973171245 0.0351855040102962 763.003143639233 0.998530732889042
"ppadjpred[40]" 0.0203889020361423 0.000203812249162298 0.00561287268085584 0.0109361444370104 0.0164243207632862 0.0197199716796653 0.0239709813959346 0.0330739078340443 758.420072821441 0.998553108037094
"ppadjpred[41]" 0.0189292704898582 0.000193220063827207 0.00530546201371805 0.010067908314407 0.0151889633093294 0.0182782245013575 0.0223177692339734 0.0310874905878883 753.949011821595 0.998576760885715
"ppadjpred[42]" 0.0175749665961328 0.000183184994569142 0.00501536308878455 0.00927994417748569 0.0140297140959792 0.016975357021214 0.0207773604405219 0.0292046510873528 749.592041324098 0.998601540545953
"ppadjpred[43]" 0.0163183307834613 0.000173673159988839 0.00474146838977963 0.00855432582041802 0.0129270975058361 0.0157519094383964 0.0193586511754531 0.0274484951758347 745.350086867358 0.998627309234944
"ppadjpred[44]" 0.0151522647142348 0.00016465362737443 0.00448276300424885 0.00787337083116633 0.0119444171400304 0.0145837135815904 0.0179650287030627 0.0256910576450754 741.223112039018 0.998653941744041
"ppadjpred[45]" 0.0140701898584271 0.000156098049733051 0.00423831441431139 0.00725383845939942 0.0110458380897012 0.0134919983350407 0.0166705873856108 0.0240813572838466 737.210289542707 0.9986813247991
