"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
1.224 1.482 0.668 0 9 10.12564 7 25 5.17 2.272 2.898
0.963 1.533 1 0 10 9.76372 3 18 4.802 2.055 2.747
0.905 1.217 1.06 0 11 9.37976 4 9 4.388 1.711 2.677
1.672 0.95 0.942 0 12 9.44704 0 2 3.575 1.478 2.097
3.245 1.079 0.893 0 13 10.52004 0 0 4.858 2.238 2.62
2.27 1.076 0.635 0 14 10.73 0 0 6.583 3.215 3.368
1.553 1.549 0.522 0 15 10.13724 0 0 6.71 2.815 3.895
1.182 1.294 0.634 0 16 9.715 0 0 5.932 2.163 3.769
1.276 1.842 1.524 1 9 16.14604 0 11 6.355 3.019 3.336
1.048 1.51 1.529 1 10 15.98132 1 18 5.91 2.262 3.648
0.959 1.202 1.562 1 11 14.91992 2 24 5.38 1.915 3.465
1.792 0.935 1.418 1 12 13.96524 3 26 4.413 1.679 2.734
2.879 1.205 1.339 1 13 14.45708 7 22 4.964 2.31 2.654
1.799 1.68 1.38 1 14 15.66116 2 8 6.031 3.1 2.931
1.168 1.73 1.535 1 15 16.17156 0 2 5.832 2.76 3.072
1.185 1.83 1.637 1 16 15.8746 0 0 6.955 2.794 4.161
1.254 1.776 1.815 2 9 21.23496 1 13 6.533 2.999 3.534
1.264 1.621 2.12 2 10 20.76284 0 13 7.476 3.035 4.441
1.105 1.076 1.594 2 11 20.38236 0 12 5.898 2.133 3.765
1.871 1.086 1.652 2 12 20.29072 1 11 5.267 2.064 3.203
2.804 1.401 1.514 2 13 21.21524 2 15 5.568 2.634 2.934
2.087 1.891 1.519 2 14 21.9936 5 25 7.073 3.633 3.44
1.423 1.882 1.951 2 15 21.3962 1 25 7.991 3.613 4.378
1.127 1.469 1.919 2 16 20.83592 0 19 7.074 2.827 4.247
1.331 1.904 1.86 3 9 28.09984 3 9 7.512 3.381 4.131
1.194 1.742 2.275 3 10 27.93164 1 9 7.483 3.026 4.457
1.127 1.264 2.034 3 11 26.75772 1 9 6.812 2.545 4.267
1.841 1.053 1.661 3 12 25.80768 2 13 5.28 1.995 3.285
3.147 1.431 1.74 3 13 26.52688 2 11 6.033 2.737 3.296
2.263 1.887 1.705 3 14 27.6428 2 11 8.016 4.008 4.008
1.416 1.898 1.954 3 15 28.04996 1 11 7.923 3.507 4.416
1.092 1.698 2.222 3 16 27.78084 1 16 7.641 3.064 4.577
1.394 2.227 2.161 4 9 34.2084 0 1 8.609 3.9 4.709
1.086 1.755 2.248 4 10 33.53908 0 4 7.252 2.926 4.326
1.21 1.514 2.231 4 11 33.02984 0 8 7.249 2.833 4.416
1.814 1.107 1.871 4 12 33.32216 0 9 5.685 2.083 3.602
3.179 1.63 1.864 4 13 34.2722 0 12 6.664 3.124 3.54
2.1 2.093 1.907 4 14 34.71764 3 12 8.259 4.077 4.182
1.594 2.341 2.286 4 15 34.48796 0 13 9.303 4.244 5.059
1.313 1.818 2.253 4 16 33.93116 0 13 8.977 3.358 5.619
1.86 2.049 2.07 5 9 41.87368 0 0 10.938 4.521 6.417
1.449 1.658 2.089 5 10 41.67648 0 0 10.509 3.796 6.713
1.388 1.294 2.064 5 11 40.56172 0 0 8.816 2.99 5.826
2.315 1.097 1.785 5 12 39.32168 0 2 7.05 2.565 4.485
3.232 1.52 1.816 5 13 40.13252 0 3 6.851 3.089 3.762
2.496 2.33 2.11 5 14 41.58368 1 6 10.002 4.898 5.104
1.509 2.024 2.192 5 15 42.19152 1 10 8.96 3.815 5.145
1.277 1.999 2.606 5 16 41.73564 1 10 9.113 3.642 5.471
1.9 2.076 1.912 6 9 49.04596 0 0 11.84 4.823 7.017
1.523 1.878 2.087 6 10 47.86508 0 0 10.686 3.822 6.864
1.404 1.574 2.056 6 11 47.2004 0 0 9.223 2.96 6.263
2.427 1.342 1.739 6 12 47.5948 0 0 8.204 2.707 5.497
4.057 1.351 1.703 6 13 48.7258 0 0 8.923 3.659 5.264
2.757 1.821 1.64 6 14 49.64916 0 0 11.25 5.194 6.056
1.555 2.104 2.089 6 15 49.01812 0 1 10.061 4.062 5.999
1.392 2.239 2.63 6 16 48.35576 0 4 10.235 3.892 6.343
