"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
1.118 1.356 1.779 0 9 8.19399970351105 2 5 6.601 2.39 4.211
0.878 1.131 1.936 0 10 7.90112217945383 1 5 6.037 2.005 4.032
0.791 0.84 1.854 0 11 7.59040916514954 2 4 4.907 1.512 3.395
1.27 0.683 1.643 0 12 7.64485434590377 1 1 4.061 1.27 2.791
2.708 1.153 1.624 0 13 8.51316110793238 0 0 5.621 2.37 3.251
1.806 1.586 1.587 0 14 8.68306762028609 0 0 7.092 2.987 4.105
1.194 1.356 1.781 0 15 8.20338680364109 0 0 7.238 2.534 4.704
0.934 1.025 1.892 0 16 7.86169635890767 0 0 6.345 1.896 4.449
1.28 1.678 2.534 1 9 13.0659046710013 0 1 8.395 3.158 5.237
1.066 1.198 2.828 1 10 12.9326078491547 0 1 8.279 2.339 5.94
0.83 0.889 2.442 1 11 12.0736881872562 1 2 6.23 1.632 4.598
1.258 0.843 1.926 1 12 11.301129846554 0 4 4.516 1.463 3.053
2.194 1.215 1.888 1 13 11.6991428920676 2 5 5.204 2.214 2.99
1.488 1.653 2.033 1 14 12.6735238855657 4 4 6.442 2.939 3.503
1.269 1.636 2.644 1 15 13.0865562912874 0 0 8.592 3.117 5.475
1.072 1.211 2.786 1 16 12.8462465279584 0 0 8.113 2.318 5.795
1.332 1.889 2.967 2 9 17.1840254980494 0 0 9.82 3.611 6.209
1.113 1.283 3.294 2 10 16.8019705227568 0 0 9.511 2.64 6.871
0.983 1.048 2.919 2 11 16.4940736384915 0 0 7.843 2.012 5.831
1.75 0.895 2.581 2 12 16.4199155474642 0 1 6.678 1.872 4.806
2.878 1.232 2.289 2 13 17.1680674278284 0 1 7.268 2.574 4.694
1.614 1.862 2.316 2 14 17.797941846554 0 2 8.084 3.329 4.755
1.102 1.616 2.813 2 15 17.314506189857 2 5 7.9 2.924 4.976
0.88 1.307 2.88 2 16 16.8611092535761 0 5 7.293 2.41 4.883
1.302 1.762 3.168 3 9 22.7393113550065 0 2 9.957 3.161 6.796
1.131 1.424 3.51 3 10 22.6031984031209 0 0 9.804 2.673 7.131
1.02 1.152 3.154 3 11 21.653223869961 0 0 8.445 2.176 6.269
1.85 0.986 2.887 3 12 20.8844203693108 0 0 7.497 2.09 5.407
3.022 1.375 2.503 3 13 21.4664205773732 0 0 8.066 2.843 5.223
2.189 2.106 2.689 3 14 22.369459609883 0 0 10.305 4.009 6.296
1.428 1.9 3.414 3 15 22.6989468244473 0 1 11.168 3.531 7.637
0.901 1.27 3.194 3 16 22.4811661014304 0 1 8.292 2.338 5.954
1.431 2.003 3.379 4 9 27.682558283485 0 0 11.432 3.665 7.767
0.93 1.372 3.43 4 10 27.1409226059818 0 2 8.743 2.323 6.42
0.824 1.166 3.113 4 11 26.7288289102731 0 2 7.129 2.019 5.11
1.658 1.095 2.989 4 12 26.9653838335501 0 2 7.021 2.126 4.895
3.076 1.583 2.849 4 13 27.7341873342003 0 0 8.701 3.219 5.482
2.168 2.14 2.997 4 14 28.0946519791938 0 0 11.089 4.19 6.899
1.41 2.053 3.638 4 15 27.908787396619 0 0 11.95 3.826 8.124
1.164 1.525 3.721 4 16 27.4582065903771 0 0 10.761 2.835 7.926
1.438 2.289 3.79 5 9 33.8855540494148 0 0 12.218 4.367 7.851
1.229 1.626 3.918 5 10 33.7259733472042 0 0 11.306 3.119 8.187
1.111 1.203 3.626 5 11 32.8238730247074 0 0 9.52 2.357 7.163
1.931 1.159 3.147 5 12 31.8203920208062 0 0 8.399 2.335 6.064
2.654 1.543 2.567 5 13 32.476550319896 0 2 7.467 2.851 4.616
1.741 2.374 2.884 5 14 33.6508765461638 0 2 9.362 4.15 5.212
1.351 2.194 3.749 5 15 34.1427605929779 0 2 11.424 4.03 7.394
0.943 1.535 3.69 5 16 33.7738475578674 0 1 9.2 2.776 6.424
1.5 2.212 3.906 6 9 39.6895980598179 0 0 12.836 4.093 8.743
1.25 1.649 4.173 6 10 38.73399126658 0 0 11.922 3.257 8.665
1.11 1.371 3.948 6 11 38.1961104291287 0 0 10.318 2.583 7.735
2.083 1.206 3.499 6 12 38.5152718335501 0 0 9.133 2.466 6.667
3.379 1.692 3.13 6 13 39.4305140962289 0 0 9.824 3.46 6.364
2.237 2.581 3.333 6 14 40.17772726658 0 0 12.744 4.901 7.843
1.589 2.253 4.065 6 15 39.6670690195058 0 0 13.343 4.316 9.027
0.992 1.492 3.729 6 16 39.1310656020806 0 1 9.646 2.769 6.877
