"prim_ppp2m" "relnonwB2j_1" "relnonwB2j_2p" "ageGpl" "endIntervall" "cumInfl" "fever500" "nchildrenL" "reltotA1j_all" "reltotA2j_12" "reltotA2j_3p"
0.924 1.263 1.559 0 9 7.06379284785436 6 28 5.315 2.218 3.097
0.763 0.885 1.668 0 10 6.8113122236671 9 22 4.9 1.633 3.267
0.705 0.679 1.644 0 11 6.54345617685306 7 15 4.327 1.276 3.051
1.245 0.633 1.375 0 12 6.59039167750325 3 10 3.705 1.215 2.49
2.053 0.923 1.255 0 13 7.33893198959688 3 7 4.23 1.77 2.46
1.336 1.273 1.31 0 14 7.48540312093628 3 3 4.936 2.249 2.687
0.833 1.198 1.465 0 15 7.07188517555267 1 1 5.126 2.144 2.982
0.815 0.943 1.708 0 16 6.7773244473342 0 0 5.312 1.771 3.541
1.028 1.296 2.114 1 9 11.263710923277 3 21 6.563 2.401 4.162
0.786 0.993 2.361 1 10 11.148799869961 5 28 6.247 1.882 4.365
0.777 0.805 2.059 1 11 10.4083518855657 5 29 5.341 1.532 3.809
1.189 0.653 1.756 1 12 9.7423533159948 22 30 4.176 1.276 2.9
1.977 1.09 1.637 1 13 10.0854680104031 10 25 4.742 2.005 2.737
1.38 1.489 1.828 1 14 10.9254516254876 10 20 6.156 2.705 3.451
0.942 1.299 2.232 1 15 11.2815140442133 6 10 6.598 2.389 4.209
0.799 1.061 2.398 1 16 11.0743504551365 0 5 6.646 2.089 4.557
0.911 1.337 2.335 2 9 14.8138150845254 3 11 6.774 2.527 4.247
0.798 1.117 2.573 2 10 14.4844573472042 3 12 6.743 2.108 4.635
0.797 0.85 2.388 2 11 14.2190289986996 5 14 5.967 1.702 4.265
1.407 0.805 2.198 2 12 14.155099609883 6 22 5.389 1.54 3.849
1.932 1.016 1.874 2 13 14.8000581274382 8 21 5.013 1.897 3.116
1.396 1.664 2.056 2 14 15.3430533159948 7 26 6.895 3.062 3.833
1.061 1.49 2.58 2 15 14.9262984395319 8 30 7.825 2.824 5.001
0.853 1.159 2.653 2 16 14.5354390117035 1 26 7.278 2.196 5.082
0.992 1.473 2.503 3 9 19.6028546163849 8 19 7.258 2.719 4.539
0.817 1.195 2.863 3 10 19.4855158647594 5 16 7.377 2.335 5.042
0.687 0.878 2.552 3 11 18.6665723016905 5 14 5.86 1.672 4.188
1.425 0.835 2.313 3 12 18.003810663199 8 13 5.394 1.652 3.742
2.022 1.215 2.022 3 13 18.5055349804941 3 13 5.494 2.217 3.277
1.527 1.789 2.32 3 14 19.2840169050715 1 14 7.427 3.271 4.156
1.069 1.536 2.764 3 15 19.5680576072822 4 19 8.136 2.935 5.201
0.793 1.167 2.744 3 16 19.3803156046814 2 22 7.227 2.237 4.99
1.041 1.715 2.719 4 9 23.8642743823147 1 5 8.022 3.147 4.875
0.933 1.34 3.078 4 10 23.3973470741222 0 15 8.066 2.595 5.471
0.794 1.057 2.896 4 11 23.0420938881664 5 21 7.13 2.002 5.128
1.434 0.931 2.424 4 12 23.2460205461638 4 18 5.702 1.756 3.946
2.209 1.323 2.195 4 13 23.9087821846554 3 17 5.941 2.468 3.473
1.399 1.722 2.388 4 14 24.2195275682705 5 15 7.18 3.12 4.06
1.113 1.655 3.021 4 15 24.059299479844 2 12 8.735 3.167 5.568
0.835 1.241 3.083 4 16 23.6708677503251 1 14 7.883 2.384 5.499
1.354 1.942 3.29 5 9 29.2116845253576 0 0 10.561 3.825 6.736
1.002 1.291 3.469 5 10 29.0741149544863 0 0 9.67 2.743 6.927
0.914 1.141 3.203 5 11 28.2964422626788 0 2 8.42 2.242 6.178
1.499 0.947 2.617 5 12 27.4313724317295 1 8 6.438 1.836 4.602
2.283 1.401 2.355 5 13 27.9970261378414 0 13 6.608 2.54 4.068
1.531 2.089 2.691 5 14 29.0093763328999 4 17 8.578 3.708 4.87
1.137 1.789 3.211 5 15 29.4334143042913 3 18 9.366 3.343 6.023
0.93 1.348 3.333 5 16 29.1153858257477 0 16 8.692 2.616 6.076
1.327 1.966 3.393 6 9 34.2151707412224 0 0 11.018 3.78 7.238
1.005 1.517 3.703 6 10 33.3913717815345 0 0 10.613 2.896 7.717
0.908 1.135 3.299 6 11 32.9276814044213 0 0 8.796 2.24 6.556
1.763 1.017 3.041 6 12 33.2028205461638 0 0 7.977 2.14 5.837
2.908 1.409 2.756 6 13 33.991822496749 0 0 8.465 2.923 5.542
1.834 2.124 2.876 6 14 34.6359717815345 0 2 9.892 3.821 6.071
1.135 1.845 3.392 6 15 34.1957491547464 1 6 9.832 3.356 6.476
0.899 1.399 3.542 6 16 33.7336772431729 0 13 8.979 2.708 6.271
